,ESTU_TIPODOCUMENTO,ESTU_NACIONALIDAD,ESTU_GENERO,ESTU_FECHANACIMIENTO,ESTU_CONSECUTIVO,ESTU_PAIS_RESIDE,ESTU_TIENEETNIA,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_TIENEINTERNET,FAMI_TIENESERVICIOTV,FAMI_TIENECOMPUTADOR,FAMI_NUMLIBROS,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,COLE_CODIGO_ICFES,COLE_NOMBRE_ESTABLECIMIENTO,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_BILINGUE,COLE_CARACTER,COLE_NOMBRE_SEDE,COLE_SEDE_PRINCIPAL,COLE_AREA_UBICACION,COLE_JORNADA,COLE_COD_MCPIO_UBICACION,COLE_MCPIO_UBICACION,ESTU_PRIVADO_LIBERTAD,PUNT_LECTURA_CRITICA,PERCENTIL_LECTURA_CRITICA,DESEMP_LECTURA_CRITICA,PUNT_MATEMATICAS,PERCENTIL_MATEMATICAS,DESEMP_MATEMATICAS,PUNT_C_NATURALES,PERCENTIL_C_NATURALES,DESEMP_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PERCENTIL_SOCIALES_CIUDADANAS,DESEMP_SOCIALES_CIUDADANAS,PUNT_INGLES,PERCENTIL_INGLES,DESEMP_INGLES,PUNT_GLOBAL,PERCENTIL_GLOBAL,ESTU_NSE_ESTABLECIMIENTO,ESTU_INSE_INDIVIDUAL,ESTU_NSE_INDIVIDUAL,ESTU_ESTADOINVESTIGACION,ESTU_GENERACION.E
1578,TI,COLOMBIA,M,02/09/2000,SB11201820551232,COLOMBIA,No,Estrato 2,3 a 4,No,Si,No,0 A 10 LIBROS,No leo por entretenimiento,Entre 1 y 3 horas,89649,INSTITUCION EDUCATIVA FRANCISCO JOSE DE CALDAS,MIXTO,OFICIAL,A,N,TÉCNICO,INSTITUCION EDUCATIVA FRANCISCO JOSE DE CALDAS - SEDE PRINCIPAL,S,URBANO,NOCHE,17777,SUPÍA,N,42,16,2,43,29,2,41,22,2,27,2,1,34,6,A-,190,11,2,41.72559515,NSE2,PUBLICAR,GENERACION E - GRATUIDAD
1695,CC,COLOMBIA,F,29/08/2000,SB11201820554599,COLOMBIA,No,Estrato 2,1 a 2,No,Si,No,0 A 10 LIBROS,30 minutos o menos,30 minutos o menos,89649,INSTITUCION EDUCATIVA FRANCISCO JOSE DE CALDAS,MIXTO,OFICIAL,A,N,TÉCNICO,INSTITUCION EDUCATIVA FRANCISCO JOSE DE CALDAS - SEDE PRINCIPAL,S,URBANO,NOCHE,17777,SUPÍA,N,48,34,2,45,35,2,51,58,2,46,47,2,42,24,A-,235,41,2,38.48041703,NSE1,PUBLICAR,GENERACION E - GRATUIDAD
1711,TI,COLOMBIA,M,06/04/2002,SB11201820376362,COLOMBIA,No,Estrato 2,3 a 4,No,No,No,0 A 10 LIBROS,30 minutos o menos,Entre 1 y 3 horas,128892,INSTITUCION EDUCATIVA ISAZA,MIXTO,OFICIAL,A,-,ACADÉMICO,INSTITUCION EDUCATIVA ISAZA - SEDE PRINCIPAL,S,RURAL,COMPLETA,17867,VICTORIA,N,57,67,3,65,88,3,60,84,3,61,85,3,51,56,A1,300,82,2,33.17346467,NSE1,PUBLICAR,GENERACION E - GRATUIDAD
1735,TI,COLOMBIA,M,21/09/2001,SB11201820453739,COLOMBIA,No,Estrato 2,5 a 6,Si,Si,Si,26 A 100 LIBROS,Entre 1 y 2 horas,Entre 30 y 60 minutos,6403,INSTITUCION EDUCATIVA FILADELFIA,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCION EDUCATIVA FILADELFIA - SEDE PRINCIPAL,S,URBANO,MAÑANA,17272,FILADELFIA,N,71,97,4,74,99,4,78,100,4,73,99,4,64,88,A2,366,99,2,54.96144223,NSE3,PUBLICAR,GENERACION E - EXCELENCIA NACIONAL
1873,CC,COLOMBIA,M,07/07/1998,SB11201820270694,COLOMBIA,No,Estrato 1,5 a 6,No,Si,No,0 A 10 LIBROS,No leo por entretenimiento,Más de 3 horas,52399,INSTITUCION EDUCATIVA CRISTO REY,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCION EDUCATIVA CRISTO REY - SEDE PRINCIPAL,S,URBANO,NOCHE,17088,BELALCÁZAR,N,57,66,3,58,75,3,48,45,2,49,56,2,44,30,A-,262,60,2,41.10826168,NSE1,PUBLICAR,GENERACION E - GRATUIDAD
1972,TI,COLOMBIA,F,05/01/2001,SB11201820249220,COLOMBIA,No,Estrato 1,5 a 6,No,No,No,0 A 10 LIBROS,No leo por entretenimiento,Más de 3 horas,188953,INSTITUCION EDUCATIVA RIOARRIBA,MIXTO,OFICIAL,A,-,ACADÉMICO,INSTITUCION EDUCATIVA RIOARRIBA - SEDE PRINCIPAL,S,RURAL,COMPLETA,17013,AGUADAS,N,58,70,3,60,78,3,53,63,2,50,58,2,48,45,A1,273,68,1,34.84847738,NSE1,PUBLICAR,GENERACION E - GRATUIDAD
2011,TI,COLOMBIA,F,17/10/2000,SB11201820066088,COLOMBIA,No,Estrato 2,5 a 6,Si,Si,No,0 A 10 LIBROS,30 minutos o menos,Entre 1 y 3 horas,6486,INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL ROSARIO,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL ROSARIO - SEDE PRINCIPAL,S,URBANO,MAÑANA,17433,MANZANARES,N,34,3,1,40,20,2,33,5,1,26,2,1,42,23,A-,170,4,2,48.86510732,NSE2,PUBLICAR,NO
2055,TI,COLOMBIA,F,23/04/2000,SB11201820491324,COLOMBIA,No,Estrato 3,1 a 2,No,Si,No,0 A 10 LIBROS,30 minutos o menos,30 minutos o menos,709964,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR MARIA ESCOLASTICA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR MARIA ESCOLASTICA - SEDE PRINCIPAL,S,URBANO,SABATINA,17653,SALAMINA,N,49,36,2,52,56,3,50,55,2,40,28,1,52,59,A1,240,45,2,36.01055071,NSE1,PUBLICAR,GENERACION E - GRATUIDAD
2065,TI,COLOMBIA,F,05/02/2001,SB11201820569136,COLOMBIA,No,Estrato 1,-,No,Si,Si,0 A 10 LIBROS,Entre 30 y 60 minutos,Entre 30 y 60 minutos,6932,INSTITUCION EDUCATIVA LA MILAGROSA,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCION EDUCATIVA LA MILAGROSA - SEDE PRINCIPAL,S,URBANO,MAÑANA,17877,VITERBO,N,35,4,1,36,13,2,29,1,1,29,4,1,30,2,A-,160,2,2,45.16064837,NSE2,PUBLICAR,GENERACION E - GRATUIDAD
2165,TI,COLOMBIA,F,07/02/2001,SB11201820058837,COLOMBIA,No,Estrato 2,5 a 6,Si,No,No,26 A 100 LIBROS,Entre 30 y 60 minutos,30 minutos o menos,225771,INSTITUCIÓN EDUCATIVA FE Y ALEGRIA LA PAZ,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA FE Y ALEGRIA LA PAZ,S,URBANO,UNICA,17001,MANIZALES,N,56,64,3,48,43,2,43,29,2,37,20,1,34,6,A-,225,34,3,44.99267006,NSE2,PUBLICAR,NO
2245,TI,COLOMBIA,F,24/07/2001,SB11201820490913,COLOMBIA,No,Estrato 2,5 a 6,No,Si,No,0 A 10 LIBROS,Entre 30 y 60 minutos,Entre 1 y 3 horas,346064,INSTITUCION EDUCATIVA LA MILAGROSA,MIXTO,OFICIAL,A,-,NO APLICA,COLEGIO LOS MORROS,N,RURAL,COMPLETA,17513,PÁCORA,N,50,42,2,51,52,3,48,47,2,59,81,3,47,40,A-,258,57,1,38.50295086,NSE1,PUBLICAR,GENERACION E - GRATUIDAD
2258,TI,COLOMBIA,F,20/10/2000,SB11201820403395,COLOMBIA,No,Estrato 1,5 a 6,Si,Si,Si,11 A 25 LIBROS,30 minutos o menos,Más de 3 horas,38695,INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCION EDUCATIVA NUESTRA SEÑORA DEL CARMEN - SEDE PRINCIPAL,S,URBANO,MAÑANA,17380,LA DORADA,N,47,31,2,40,21,2,36,9,1,36,18,1,54,65,A1,204,20,2,55.99787688,NSE3,PUBLICAR,NO
2393,TI,COLOMBIA,M,11/11/2001,SB11201820399645,COLOMBIA,No,Estrato 2,3 a 4,No,Si,Si,11 A 25 LIBROS,No leo por entretenimiento,30 minutos o menos,139881,INSTITUCION EDUCATIVA ENCIMADAS,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCION EDUCATIVA ENCIMADAS - SEDE PRINCIPAL,S,RURAL,COMPLETA,17013,AGUADAS,N,49,37,2,49,45,2,39,18,1,26,1,1,45,35,A-,205,20,2,44.37250765,NSE2,PUBLICAR,GENERACION E - GRATUIDAD
2450,TI,COLOMBIA,F,21/06/2001,SB11201820111519,COLOMBIA,No,Estrato 2,7 a 8,No,Si,Si,-,No leo por entretenimiento,30 minutos o menos,6882,INSTITUCION EDUCATIVA SAN PABLO,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCION EDUCATIVA SAN PABLO - SEDE PRINCIPAL,S,URBANO,COMPLETA,17867,VICTORIA,N,38,8,2,38,16,2,40,19,1,33,10,1,52,58,A1,192,12,2,45.76793649,NSE2,PUBLICAR,GENERACION E - GRATUIDAD
2553,CC,COLOMBIA,F,03/05/1999,SB11201820414134,COLOMBIA,No,Estrato 1,3 a 4,No,Si,Si,-,30 minutos o menos,Entre 30 y 60 minutos,6882,INSTITUCION EDUCATIVA SAN PABLO,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCION EDUCATIVA SAN PABLO - SEDE PRINCIPAL,S,URBANO,COMPLETA,17867,VICTORIA,N,52,49,3,54,63,3,45,37,2,45,43,2,44,29,A-,243,47,2,48.10895658,NSE2,PUBLICAR,GENERACION E - GRATUIDAD
2585,CC,COLOMBIA,F,12/12/1999,SB11201820568939,COLOMBIA,No,Estrato 2,3 a 4,Si,Si,Si,0 A 10 LIBROS,No leo por entretenimiento,30 minutos o menos,148429,INSTITUCIÓN EDUCATIVA BOSQUES DEL NORTE,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA BOSQUES DEL NORTE,S,URBANO,NOCHE,17001,MANIZALES,N,42,17,2,32,7,1,30,2,1,36,17,1,37,12,A-,176,5,2,51.27505174,NSE3,PUBLICAR,NO
2629,CC,COLOMBIA,F,28/06/1985,SB11201820495763,COLOMBIA,No,Estrato 2,1 a 2,Si,No,No,0 A 10 LIBROS,No leo por entretenimiento,Entre 30 y 60 minutos,709964,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR MARIA ESCOLASTICA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR MARIA ESCOLASTICA - SEDE PRINCIPAL,S,URBANO,SABATINA,17653,SALAMINA,N,43,18,2,40,20,2,46,39,2,40,29,1,37,12,A-,209,23,2,45.41551917,NSE2,PUBLICAR,GENERACION E - GRATUIDAD
2784,CC,COLOMBIA,F,26/01/1981,SB11201820550941,COLOMBIA,No,Estrato 1,1 a 2,No,Si,No,0 A 10 LIBROS,30 minutos o menos,30 minutos o menos,89649,INSTITUCION EDUCATIVA FRANCISCO JOSE DE CALDAS,MIXTO,OFICIAL,A,N,TÉCNICO,INSTITUCION EDUCATIVA FRANCISCO JOSE DE CALDAS - SEDE PRINCIPAL,S,URBANO,NOCHE,17777,SUPÍA,N,37,7,2,43,30,2,37,13,1,38,22,1,42,24,A-,195,14,2,43.48587546,NSE2,PUBLICAR,NO
2904,CC,COLOMBIA,F,15/11/1988,SB11201820088167,COLOMBIA,No,-,-,-,-,-,-,-,-,157446,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR SAGRADO CORAZON,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR SAGRADO CORAZON - SEDE PRINCIPAL,S,URBANO,SABATINA,17050,ARANZAZU,N,41,15,2,23,1,1,30,2,1,36,17,1,37,12,A-,164,2,2,NA,-,PUBLICAR,NO
3034,TI,COLOMBIA,F,02/01/2001,SB11201820292023,COLOMBIA,No,Estrato 3,3 a 4,Si,Si,Si,26 A 100 LIBROS,Entre 30 y 60 minutos,Entre 1 y 3 horas,42341,INSTITUCIÓN EDUCATIVA NACIONAL AUXILIARES DE ENFERMERIA,MIXTO,OFICIAL,A,N,TÉCNICO,INSTITUCIÓN EDUCATIVA NACIONAL AUXILIARES DE ENFERMERIA,S,URBANO,MAÑANA,17001,MANIZALES,N,66,91,4,67,93,3,66,94,3,61,83,3,54,66,A1,321,91,3,56.11147063,NSE3,PUBLICAR,GENERACION E - GRATUIDAD
3060,CC,COLOMBIA,F,11/12/1966,SB11201820014263,COLOMBIA,No,Estrato 3,1 a 2,No,Si,No,0 A 10 LIBROS,Entre 30 y 60 minutos,30 minutos o menos,168500,COL. LOS LIBERTADORES,MIXTO,NO OFICIAL,A,N,ACADÉMICO,COL. LOS LIBERTADORES,S,URBANO,SABATINA,17001,MANIZALES,N,50,42,2,37,14,2,41,22,2,47,48,2,34,6,A-,215,27,3,41.2128614,NSE2,PUBLICAR,NO
3085,CC,COLOMBIA,F,17/11/1981,SB11201820335157,COLOMBIA,No,Estrato 2,3 a 4,No,Si,No,11 A 25 LIBROS,30 minutos o menos,No Navega Internet,718445,INSTITUCION EDUCATIVA SAN ANTONIO DE ARMA,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCION EDUCATIVA SAN ANTONIO DE ARMA - SEDE PRINCIPAL,S,RURAL,SABATINA,17013,AGUADAS,N,39,10,2,25,2,1,40,21,1,35,14,1,40,18,A-,176,5,2,38.97425739,NSE1,PUBLICAR,NO
3317,TI,COLOMBIA,F,02/12/2001,SB11201820485695,COLOMBIA,No,Estrato 3,5 a 6,No,No,No,MÁS DE 100 LIBROS,30 minutos o menos,Entre 30 y 60 minutos,226340,INSTITUCION EDUCATIVA MARCO FIDEL SUAREZ,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCION EDUCATIVA MARCO FIDEL SUAREZ - SEDE PRINCIPAL,S,URBANO,TARDE,17380,LA DORADA,N,48,35,2,42,25,2,41,23,2,38,23,1,48,43,A1,213,26,2,43.34019606,NSE2,PUBLICAR,GENERACION E - GRATUIDAD
3491,TI,COLOMBIA,F,12/05/2002,SB11201820596718,COLOMBIA,No,Estrato 2,5 a 6,No,Si,No,0 A 10 LIBROS,30 minutos o menos,30 minutos o menos,197160,INSTITUCION EDUCATIVA EL JAPON,MIXTO,OFICIAL,A,-,NO APLICA,INSTITUCION EDUCATIVA EL JAPON - SEDE PRINCIPAL,S,RURAL,MAÑANA,17380,LA DORADA,N,40,12,2,46,38,2,36,10,1,40,29,1,38,14,A-,202,18,2,45.83437763,NSE2,PUBLICAR,GENERACION E - GRATUIDAD
3592,TI,COLOMBIA,F,14/07/2001,SB11201820439918,COLOMBIA,No,Estrato 1,1 a 2,No,No,No,11 A 25 LIBROS,Entre 30 y 60 minutos,Entre 1 y 3 horas,86397,INSTITUCION EDUCATIVA GENERAL RAMON MARIN,MIXTO,OFICIAL,A,N,TÉCNICO,INSTITUCION EDUCATIVA GENERAL RAMON MARIN - SEDE PRINCIPAL,S,RURAL,COMPLETA,17442,MARMATO,N,46,27,2,46,37,2,51,56,2,49,56,2,57,74,A1,243,47,2,40.67539227,NSE1,PUBLICAR,GENERACION E - GRATUIDAD
3668,CC,COLOMBIA,F,09/10/1987,SB11201820521820,COLOMBIA,No,Estrato 1,3 a 4,Si,Si,Si,0 A 10 LIBROS,30 minutos o menos,30 minutos o menos,115816,INSTITUTO EDUCATIVO NUEVOS COMIENZOS,MIXTO,NO OFICIAL,A,N,ACADÉMICO,INSTITUTO EDUCATIVO NUEVOS COMIENZOS,S,URBANO,NOCHE,17380,LA DORADA,N,41,13,2,45,35,2,40,19,1,30,5,1,50,51,A1,199,16,2,47.2713357,NSE2,PUBLICAR,NO
3691,TI,COLOMBIA,F,19/07/2001,SB11201820132777,COLOMBIA,No,Estrato 3,9 o más,Si,Si,Si,11 A 25 LIBROS,30 minutos o menos,Más de 3 horas,102939,INSTITUCIÓN EDUCATIVA PERPETUO SOCORRO,FEMENINO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA PERPETUO SOCORRO,S,URBANO,MAÑANA,17001,MANIZALES,N,56,65,3,50,48,2,48,46,2,52,63,2,46,36,A-,255,56,3,51.87733174,NSE3,PUBLICAR,NO
3776,TI,COLOMBIA,F,13/03/2002,SB11201820222370,COLOMBIA,No,Estrato 1,3 a 4,No,Si,No,11 A 25 LIBROS,Entre 30 y 60 minutos,Entre 1 y 3 horas,676726,INSTITUCION EDUCATIVA FELIX NARANJO,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCION EDUCATIVA FELIX NARANJO - SEDE PRINCIPAL,S,RURAL,UNICA,17662,SAMANÁ,N,45,24,2,53,60,3,49,49,2,41,32,2,40,17,A-,232,39,2,43.04401878,NSE2,PUBLICAR,GENERACION E - GRATUIDAD
3787,TI,COLOMBIA,F,27/05/2001,SB11201820170280,COLOMBIA,No,Estrato 3,3 a 4,Si,Si,No,11 A 25 LIBROS,30 minutos o menos,Entre 1 y 3 horas,48280,INSTITUCIÓN EDUCATIVA SAN PIO X,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCIÓN EDUCATIVA SAN PIO X,S,URBANO,MAÑANA,17001,MANIZALES,N,50,42,2,55,66,3,47,44,2,35,14,1,52,58,A1,236,42,3,52.3263588,NSE3,PUBLICAR,NO
3922,CC,COLOMBIA,F,23/12/1997,SB11201820354160,COLOMBIA,No,Estrato 2,1 a 2,Si,Si,Si,11 A 25 LIBROS,Entre 30 y 60 minutos,No Navega Internet,188797,INSTITUCIÓN EDUCATIVA GRAN COLOMBIA,MIXTO,OFICIAL,A,-,ACADÉMICO,ISNTITUCIÓN EDUCATIVA GRAN COLOMBIA,S,URBANO,NOCHE,17001,MANIZALES,N,52,49,3,51,54,3,49,50,2,68,95,3,49,47,A1,273,67,2,51.48580735,NSE3,PUBLICAR,NO
3933,CC,COLOMBIA,F,31/12/1997,SB11201820587974,COLOMBIA,No,Sin Estrato,1 a 2,No,Si,-,0 A 10 LIBROS,No leo por entretenimiento,30 minutos o menos,167437,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR REBECA SIERRA CARDONA,MIXTO,OFICIAL,A,N,TÉCNICO/ACADÉMICO,INSTITUCION EDUCATIVA ESCUELA NORMAL SUPERIOR REBECA SIERRA CARDONA - SEDE PRINCIPAL,S,URBANO,SABATINA,17042,ANSERMA,N,32,2,1,25,2,1,27,1,1,26,2,1,29,1,A-,138,1,2,44.85606938,NSE2,PUBLICAR,NO
4012,TI,COLOMBIA,M,11/01/2001,SB11201820259841,COLOMBIA,No,Estrato 2,5 a 6,Si,Si,No,0 A 10 LIBROS,Entre 30 y 60 minutos,Entre 1 y 3 horas,226605,INSTITUCION EDUCATIVA MARCO FIDEL SUAREZ,MIXTO,OFICIAL,A,N,ACADÉMICO,INSTITUCION EDUCATIVA MARCO FIDEL SUAREZ - SEDE PRINCIPAL,S,URBANO,COMPLETA,17513,PÁCORA,N,66,90,4,63,85,3,61,85,3,66,92,3,63,86,A2,320,90,2,46.94116499,NSE2,PUBLICAR,GENERACION E - GRATUIDAD
4072,CC,COLOMBIA,F,25/11/1971,SB11201820369278,COLOMBIA,Si,Estrato 1,7 a 8,No,Si,No,0 A 10 LIBROS,30 minutos o menos,No Navega Internet,176164,INSTITUCION EDUCATIVA LA FELISA,MIXTO,OFICIAL,A,N,TÉCNICO,INSTITUCION EDUCATIVA LA FELISA - SEDE PRINCIPAL,S,RURAL,SABATINA,17388,LA MERCED,N,42,17,2,31,5,1,29,1,1,45,42,2,27,1,A-,180,7,2,33.84135789,NSE1,PUBLICAR,NO
